month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,174454801725.57925,5395.833618411394,5401.9162570293165,6.082638617923024,23.777305075583246,0.0,20,31,5,0
2,174728062028.183,6189.426114214453,6245.629060466292,56.20294625183785,24.063866868154086,0.0,36,81,11,0
3,174733903814.20865,7009.110718587537,7163.682442555442,154.57172396790506,23.691596286042753,0.0,61,154,6,0
4,175775748045.07306,7607.115963969943,7869.287668384142,262.1717044141993,23.572993743113884,0.0,76,243,9,0
5,175972940548.9745,8259.400440783467,8735.335754733696,475.9353139502287,24.006839075551966,0.0,97,352,7,0
6,175300104574.80972,8738.101132656302,9658.517607174917,920.4164745186158,23.930486937518225,0.0,120,465,7,0
7,175397950149.7023,9072.920310172167,10467.57140839344,1394.6510982212735,23.855496145342926,0.0,137,577,11,1
8,176029793167.08356,9388.849998832797,11232.33309408919,1843.483095256394,23.648570272924594,0.0,155,690,9,1
9,175859124404.6867,9696.255273275608,12042.380126692526,2346.1248534169163,23.571130702364684,0.0,173,804,7,1
10,177189379894.41412,9929.059006147809,12963.13648543824,3034.0774792904313,23.51158637360975,0.0,196,918,6,1
11,177352680994.17636,9841.620035938779,13648.486125627498,3806.8660896887163,23.51030978536439,0.0,212,1030,9,2
12,177982659185.0292,9764.597390579784,14485.218815147382,4720.621424567598,23.33482374448235,0.0,233,1141,7,2
13,178613531724.37033,9668.286717047995,15262.57861235206,5594.291895304067,23.41734016516369,0.0,249,1257,10,2
14,179037474487.2175,9712.179823940023,16258.084854811577,6545.905030871555,23.655091957142133,0.0,275,1371,5,2
15,179452696552.46893,9498.816109915137,17077.717780735704,7578.901670820566,23.12182524419766,0.0,298,1484,4,3
16,179845478154.35822,9355.379198568466,17976.862390752583,8621.483192184114,23.197108577316722,0.0,322,1597,5,3
17,179866245950.64148,9088.370635113402,18788.563530383468,9700.192895270065,23.243031715076008,0.0,343,1710,4,4
18,180457429519.4028,8685.995288839647,19475.111282880127,10789.115994040481,23.118038331350817,0.0,359,1822,14,4
19,180950767290.71405,8392.158230301762,20390.927555482533,11998.769325180769,23.24173868390744,0.0,385,1932,8,5
20,181161424295.04605,7976.1454597898955,21116.768869135347,13140.623409345451,23.454914114290066,0.0,398,2048,6,5
21,182530814373.35736,7536.9115683055825,21831.49649404088,14294.5849257353,23.480608777861562,0.0,415,2162,6,5
22,184064461360.5448,6990.127038765527,22460.280375897142,15470.153337131607,23.34926302663571,0.0,431,2273,9,5
23,183856187693.2029,6336.861350840348,23197.073261265246,16860.211910424896,23.425958670255927,0.0,449,2386,9,5
24,183953599856.89478,5732.868767823043,23996.095851738115,18263.227083915073,23.415292267041398,0.0,470,2500,7,5
