id,name,intent,role,region,money,omk_balance,fiat_balance,reputation,stake,rank,capital,goods,energy,insurance,self_created_need_flag,redline_violations,valid_contribution,harmful_contribution,wallet_units
A000,Noble_teacher_000,noble,teacher,R01,8.419743062187056,8.419743062187056,105.50462894793246,95.56948308888231,16.376435049114026,72,73.05737394114254,13.592022933563438,8.458680058656384,5.5954837194045535,0,0,268.29107804782825,0.0,728
A001,Noble_engineer_001,noble,engineer,R03,7.447571026119956,7.447571026119956,128.728804828758,71.63202562107949,2.8177800325609184,14,76.52340613071856,18.499725252372226,10.653783872451719,4.767145547974034,0,0,88.35744444118453,0.0,327
A002,Noble_researcher_002,noble,researcher,R02,7.975630737086435,7.975630737086435,132.21619419558397,44.14115747329809,6.3704527358959995,95,78.86023954852527,30.80771784379187,19.75322031183417,4.7719789828916115,0,0,108.21808985721817,0.0,1241
A003,Noble_insurer_003,noble,insurer,R02,2.118070104764453,2.118070104764453,130.84968746637585,84.15627504198925,8.37390105631393,50,45.71130310025441,21.571844051425803,12.318068761629066,4.615352773664233,0,0,109.13530623537862,0.0,3
A004,Noble_teacher_004,noble,teacher,R03,6.8396496880355055,6.8396496880355055,144.12571237730452,48.69344671380047,21.56128590362939,56,36.6796235375858,12.188881999967942,15.522097873684524,6.873533695098034,0,0,126.74641727025504,0.0,129
A005,Noble_governor_005,noble,governor,R02,1.9062929385768148,1.9062929385768148,116.17091561864386,67.81740965276589,7.098194472143879,16,68.32651249281481,21.469721982674987,8.016078924993638,1.5539077846209302,0,0,95.31472560650012,0.0,13
A006,Noble_researcher_006,noble,researcher,R00,7.872428354204016,7.872428354204016,138.0290712141421,43.528291441598576,11.189677812555352,72,59.99822338892011,19.89060417337657,12.515297347843758,4.0947110402149605,0,0,118.00317812760281,0.0,687
A007,Noble_engineer_007,noble,engineer,R03,6.267428549529991,6.267428549529991,103.17996155995252,50.937937933142635,0.0,26,55.27878115507226,23.161022581858195,16.85987612861065,6.871259369711147,0,0,148.21229110578355,0.0,68
A008,Noble_teacher_008,noble,teacher,R02,3.7344145110895925,3.7344145110895925,85.8150435100425,81.09956094078196,0.0,42,60.51902244774335,11.055388292371806,23.82864447176309,4.928962947786284,0,0,112.84162719295581,0.0,36
A009,Noble_auditor_009,noble,auditor,R02,236.07539246539451,236.07539246539451,123.69021796854952,24.23843164246722,14.483256867847508,65,94.66993909349236,13.729344713384414,8.850244037274473,2.1635759235287835,0,0,118.81289123400845,0.0,2475
A010,Noble_researcher_010,noble,researcher,R04,6.652501910064304,6.652501910064304,84.59698301296041,63.97553872401269,0.0,2,44.794791216582546,9.774214190691245,21.984110655164386,4.223305183799587,0,0,144.97705301400364,0.0,185
A011,Noble_researcher_011,noble,researcher,R02,4.2209444898166515,4.2209444898166515,97.17096457710771,33.97106233167626,0.0,12,37.50001746146916,12.563311741096328,14.546451596779844,0.931532983653216,0,0,89.373785186621,0.0,26
A012,Noble_engineer_012,noble,engineer,R00,6.647857286282094,6.647857286282094,116.95116746627497,75.124748249075,0.0,65,76.18830453637011,21.757310932497862,19.531100727767203,6.99640885557795,0,0,125.98538569979209,0.0,404
A013,Noble_engineer_013,noble,engineer,R00,7.135138138603178,7.135138138603178,95.26106541906876,71.01069070066823,0.0,34,73.99593680012305,14.667141343451473,23.597320873907137,4.238517554263927,0,0,93.91687546200343,0.0,179
A014,Noble_auditor_014,noble,auditor,R03,941.7734294539172,941.7734294539172,87.70268607560192,66.4501234252207,0.0,99,93.68754420542162,21.661341160028044,8.832588233430634,5.258843638966802,0,0,154.0845496526345,0.0,1643
A015,Noble_insurer_015,noble,insurer,R00,1.4684869201812265,1.4684869201812265,141.74737220227902,87.25359894404541,0.0,1,78.6309661600175,23.356099788691616,15.338962388652098,5.926020480307638,0,0,204.70465475752928,0.0,152
A016,Noble_auditor_016,noble,auditor,R02,5.66130382991886,5.66130382991886,143.11750879341602,53.22289269547548,0.0,32,81.3910183489394,21.48799616902672,14.127205087252442,2.053141087938308,0,0,136.8755816617743,0.0,384
A017,Noble_producer_017,noble,producer,R03,6.409767356545183,6.409767356545183,111.40683160145514,80.2297428193153,0.0,39,73.59230197742147,9.620476002939983,15.703623410596498,5.496704663714972,0,0,145.78842669106956,0.0,452
A018,Noble_insurer_018,noble,insurer,R04,1.876816184365313,1.876816184365313,117.32824994548814,58.53085161704633,20.581324532315026,36,66.75354181064378,21.596549780071438,23.744086350356998,6.530293283340799,0,0,175.2574729088288,0.0,274
A019,Neutral_auditor_019,neutral,auditor,R02,16.4872773603511,16.4872773603511,90.03459505650724,18.334327464937882,0.0,29,91.48943356814772,32.325917511975646,21.359936274997615,2.561695670307603,0,7,77.22197885959437,0.0,668
A020,Neutral_insurer_020,neutral,insurer,R00,2.775759489482517,2.775759489482517,98.10923727103396,28.95457985822248,16.742690481289188,59,49.54145601777921,18.5965217962778,16.393412613485143,4.667804625148952,0,5,75.82538724626497,0.0,247
A021,Neutral_producer_021,neutral,producer,R03,2.911411605322795,2.911411605322795,129.78071192875723,50.29944525797621,3.837447230021306,40,50.90131734034601,26.489857752134547,8.7088712425721,4.9283535454426834,0,5,56.84561834394462,0.0,245
A022,Neutral_insurer_022,neutral,insurer,R04,2.595541094444142,2.595541094444142,128.51004872765412,18.163587085512887,6.847074867799082,68,57.71716498097494,12.851556015645269,13.357242227104948,5.70357951556522,0,5,81.26702929860826,0.0,140
A023,Neutral_healer_023,neutral,healer,R00,2.335735405238326,2.335735405238326,129.8334201522933,44.98174868579178,0.0,81,38.754796595873565,28.497471587402387,12.113579873491991,4.275024912699163,0,4,90.41895483643634,0.0,164
A024,Neutral_auditor_024,neutral,auditor,R04,3.8753857975815436,3.8753857975815436,132.962016329734,22.409130038196587,0.0,56,35.522310943559546,32.41039588603862,13.180857266876743,6.383246115711373,0,5,64.47325403611923,0.0,262
A025,Neutral_healer_025,neutral,healer,R04,10.661555909523974,10.661555909523974,91.25747103410035,27.426601429325963,0.0,58,88.4757535192856,14.064950879029858,16.98599500559877,5.96625794365261,0,8,108.02692483894126,0.0,306
A026,Neutral_auditor_026,neutral,auditor,R02,4.199510007769561,4.199510007769561,134.63616366788233,80.92234671949163,0.0,30,52.62064795176357,14.168443072961384,9.65315432591103,0.4372673588312419,0,5,87.5856253769335,0.0,308
