agent_id,agent_name,agent_intent,agent_region,omk_id,amount,issuer,unit,operation_family,type_from,type_to,proof_quality,causal_share,source,region,step,reversible,delta_agency,delta_freedom_from_harm,delta_truth,delta_causal_integrity,delta_norm_alignment,delta_hierarchy_legitimacy,delta_behavior_cooperation,delta_repair_capacity,delta_help_potential,delta_resource_resilience,delta_material_output,delta_liquidity,delta_fairness,delta_consent_quality,delta_reversibility
A000,Noble_teacher_000,noble,R01,46157,0.6421556260304958,GMOE-MINT,NORM,norm_reform,norm,behavior,0.8401540389018296,0.7723926265791066,realized,R01,148,1,5.115907697472721e-15,0.0,0.0,0.0,0.0008357822505604417,0.777901026895172,7.131167899387946e-06,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-15,0.3274287005665661,0.0
A000,Noble_teacher_000,noble,R01,58366,0.5779296706923327,GMOE-MINT,NORM,norm_reform,norm,behavior,0.8408588053090619,0.7727612872973226,realized,R01,180,1,5.115907697472721e-15,0.0,0.0,0.0,1.6166379850801604e-06,1.1585057260019596,1.3793684274787665e-08,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-15,0.011101014208790047,0.0
A000,Noble_teacher_000,noble,R01,36175,0.476138429911565,GMOE-MINT,TRUTH,education,truth,agency,0.8959848287741007,0.8769874071087069,realized,R03,1,0,2.952737837319787,0.0,2.0117058971057564,0.0,0.0,0.0,0.8915984041151294,0.0,1.3332596561874757,0.0,0.0,0.0,0.6085760232694735,0.6502256082858692,0.0
A000,Noble_teacher_000,noble,R01,46512,0.3814138715940076,GMOE-MINT,OMK,restore_agency,damage,agency,0.7529202130960901,0.6869417550923422,realized,R02,1,0,3.1480987712869086,0.8232499056012766,0.21354316244520213,0.0,0.0,0.0,0.0,1.0077824991811273,1.3801785561880129,0.0,0.0,0.0,0.7931341729554546,0.4961574359469841,0.29676870032473796
A000,Noble_teacher_000,noble,R01,56448,0.3702228656803983,GMOE-MINT,NORM,norm_reform,norm,behavior,0.8427179901057272,0.8017866736313929,realized,R01,175,1,5.115907697472721e-15,0.0,0.0,0.0,6.166984511537521e-06,0.6808838755411469,3.367598935710703e-08,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-15,0.02710208547067623,0.0
A000,Noble_teacher_000,noble,R01,47251,0.32875339638027595,GMOE-MINT,TRUTH,education,truth,agency,0.8959848287741007,0.8769874071087069,realized,R03,1,0,2.952737837319787,0.0,2.0117058971057564,0.0,0.0,0.0,0.8915984041151294,0.0,1.3332596561874757,0.0,0.0,0.0,0.6085760232694735,0.6502256082858692,0.0
A000,Noble_teacher_000,noble,R01,47651,0.31850507511053683,GMOE-MINT,TRUTH,education,truth,agency,0.8732547308827209,0.8499698342472117,realized,R01,152,0,5.115907697472721e-15,0.0,5.115907697472721e-15,0.0,0.0,0.0,4.563947453561923e-06,0.0,5.525180313270538e-13,0.0,0.0,0.0,5.115907697472721e-15,0.3505802820112259,0.0
A000,Noble_teacher_000,noble,R01,57600,0.2880070540864387,GMOE-MINT,NORM,norm_reform,norm,behavior,0.818676466430809,0.7840027704948922,realized,R01,178,1,5.115907697472721e-15,0.0,0.0,0.0,2.525996855524681e-06,0.5654562509834775,2.1552633597821114e-08,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-15,0.017345334701233808,0.0
A000,Noble_teacher_000,noble,R01,49927,0.21040326859089864,GMOE-MINT,OMK,restore_agency,damage,agency,0.7540132565560598,0.6970311776872079,realized,R01,158,0,5.115907697472721e-15,2.223029555125322e-05,5.115907697472721e-15,0.0,0.0,0.0,0.0,4.929565808993175e-06,3.5299763112561777e-13,0.0,0.0,0.0,5.115907697472721e-15,0.3265082369885395,0.0008967657338860135
A000,Noble_teacher_000,noble,R01,47275,0.18113541969990207,GMOE-MINT,TRUTH,truth_audit,truth,money,0.7799519270013678,0.7373680226896843,realized,R01,151,1,0.0,0.0,5.115907697472721e-15,0.0010223434891537407,0.00034233640982847644,0.41482302306068664,0.0,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-15,0.0,0.0
A000,Noble_teacher_000,noble,R01,55301,0.17854564563763556,GMOE-MINT,TRUTH,truth_audit,truth,money,0.7798131898386476,0.7174096627624201,realized,R01,172,1,0.0,0.0,5.115907697472721e-15,0.00017152077543869382,9.635913299916864e-06,0.4219053794629099,0.0,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-15,0.0,0.0
A000,Noble_teacher_000,noble,R01,51109,0.15979912290871315,GMOE-MINT,OMK,restore_agency,damage,agency,0.7690061628954538,0.7222938088148958,realized,R01,161,0,5.115907697472721e-15,1.4227389150960335e-05,5.115907697472721e-15,0.0,0.0,0.0,0.0,3.154922119392722e-06,2.2509993868879974e-13,0.0,0.0,0.0,5.115907697472721e-15,0.2346849222632403,0.0005739300696876626
A000,Noble_teacher_000,noble,R01,52653,0.13221573868750416,GMOE-MINT,TRUTH,truth_audit,truth,money,0.7856125311274731,0.7400204602872518,realized,R01,165,1,0.0,0.0,5.115907697472721e-15,0.00041875189315703664,2.352517895303663e-05,0.30021770602716313,0.0,0.0,0.0,0.0,0.0,0.0,5.115907697472721e-15,0.0,0.0
