step,mode,region,actor_id,actor_intent,operation,unit,type_from,type_to,accepted,reason,score_before,score_after,region_score_before,region_score_after,weighted_delta_score,protected_loss,minted,private_gain,proof_quality,causal_share,flags,delta_agency,delta_freedom_from_harm,delta_truth,delta_causal_integrity,delta_norm_alignment,delta_hierarchy_legitimacy,delta_behavior_cooperation,delta_repair_capacity,delta_help_potential,delta_resource_resilience,delta_material_output,delta_liquidity,delta_fairness,delta_consent_quality,delta_reversibility
1,gmoe,R00,A027,neutral,exploit_labor,DEBT,agency,money,0,"red-line violation: coercion,agency_loss",49.2627106987974,49.2627106987974,48.91763337173924,48.91763337173924,-4.923225927193737,4.729481702875908,0.0,1.959184597112446,0.6582245836434896,0.5491986090078953,coercion;agency_loss,-0.702588378149931,-0.664691451583467,0.0,0.0,-0.422530716339714,0.0,-0.14263799150212508,0.0,0.0,0.0,1.0039940916759835,0.18581847000865373,-0.6184881003360375,-0.4109709084385877,-0.14649321851626632
1,gmoe,R04,A034,neutral,infrastructure_maintenance,REPAIR,effect,resource,1,valid operator-metric payment,49.2627106987974,49.31937103915696,52.14020684827841,52.42350855007626,5.552713355237774,0.0,2.13935194340759,1.4890260023475779,0.6648493386873083,0.5795004001014522,,0.0,0.7413923202410838,0.0,0.0,0.0,0.0,0.0,0.8696520121205683,0.0,2.158918513626082,0.5170814752014046,0.0,0.0,0.0,0.31407189157503096
1,gmoe,R02,A057,harmful,exploit_labor,DEBT,agency,money,0,"red-line violation: coercion,agency_loss",49.31937103915696,49.31937103915696,46.28440631517541,46.28440631517541,-22.518784328012543,21.635129465642414,0.0,8.560546150877117,0.844987330658643,0.8054498329832046,coercion;agency_loss,-3.16965452355344,-2.930602610031677,0.0,0.0,-1.5774843483361163,0.0,-0.5700749591533272,0.0,0.0,0.0,3.6965084252110207,0.8407938986856106,-2.7455802559397164,-2.1618266069117786,-0.6990124756910766
1,gmoe,R02,A019,neutral,norm_reform,NORM,norm,behavior,1,valid operator-metric payment,49.31937103915696,49.393180112893205,46.28440631517541,46.65345168385664,7.233289226152077,0.0,3.4662196264018683,0.9480889082979517,0.7286073150851305,0.6576982994283436,,0.8572090214137903,0.0,0.0,0.0,2.067666818523245,0.8490146353443828,0.5720836363051162,0.0,0.0,0.0,0.0,0.0,0.6874709730221488,0.2725402006578594,0.0
1,gmoe,R02,A003,noble,fair_exchange,OMK,money,money,1,valid operator-metric payment,49.393180112893205,49.42137616948245,46.65345168385664,46.79443196680282,2.7632135457450238,0.0,1.656308694351451,1.139584976718097,0.8118595411444408,0.7383222107728165,,0.0,0.0,0.09081082115319536,0.0,0.0,0.0,0.33445404788151045,0.0,0.0,0.0,0.0,1.336129830651289,0.7285401529729958,0.39410369420519287,0.0
1,gmoe,R01,A053,harmful,tyrant_hierarchy_inversion,DEBT,hierarchy,hierarchy,0,"red-line violation: tyrant_metric,agency_loss",49.42137616948245,49.42137616948245,49.16223854544733,49.16223854544733,-13.79118133882081,9.31139949155806,0.0,3.907406460013248,0.8832388482289434,0.8417411093912998,tyrant_metric;agency_loss,-1.8822136352439582,0.0,-0.5067836527183596,0.0,-1.179284157346156,-2.7716678282567293,0.0,0.0,0.0,0.0,0.3321647603532531,0.0,-1.541809061848501,-1.0686844722391884,-0.37943622682173045
1,gmoe,R03,A037,neutral,fair_exchange,OMK,money,money,1,valid operator-metric payment,49.42137616948245,49.46363906450239,49.80906841334658,50.02038288844634,4.1417637119552895,0.0,2.706059610381649,1.7052346491550812,0.8364513681997453,0.7811084654699835,,0.0,0.0,0.14298033717838612,0.0,0.0,0.0,0.4946659693321965,0.0,0.0,0.0,0.0,2.2932945078490365,1.0728685978848749,0.5453564206653967,0.0
1,gmoe,R02,A016,noble,restore_agency,OMK,damage,agency,1,valid operator-metric payment,49.46363906450239,49.6148288388262,46.79443196680282,47.55038083842188,14.816597883733568,0.0,7.66332715306772,1.2602340564658745,0.7529202130960901,0.6869417550923422,,3.1480987712869086,0.8232499056012766,0.21354316244520213,0.0,0.0,0.0,0.0,1.0077824991811273,1.3801785561880129,0.0,0.0,0.0,0.7931341729554546,0.4961574359469841,0.29676870032473796
1,gmoe,R02,A011,noble,repair_harm,REPAIR,damage,effect,1,valid operator-metric payment,49.6148288388262,49.81344544221337,47.55038083842188,48.543463855357786,19.46442713194375,0.0,14.1675720840514,2.07837847311519,0.8703556088722414,0.8362903246430187,,1.0700661156149782,4.454405273017104,0.2987784841535745,0.0,0.0,0.0,0.0,2.3233930370430733,0.8390409266564225,0.0,0.0,0.0,0.8580202385931278,0.0,0.7325019759187434
1,gmoe,R02,A052,harmful,metric_hack,DEBT,ledger,money,0,red-line violation: metric_fraud,49.81344544221337,49.81344544221337,48.543463855357786,48.543463855357786,-4.123650017007164,4.2961820787558125,0.0,2.041608341263411,0.7705388226839628,0.7359065046778622,metric_fraud,0.0,0.0,-1.2179498796014603,-1.0581570916655205,-0.39591510542463976,0.0,0.30944562555889926,0.0,0.0,0.0,0.44592685419641237,0.361056979673625,-0.394026254086408,0.0,0.0
