id,sponsor,region,start_distance,due_step,resolved,payout
NC_2_A005_1,A005,R02,50.344308972050406,6,True,2.652
NC_4_A039_2,A039,R00,37.22110104407836,8,True,2.652
NC_4_A003_3,A003,R02,44.537648753216715,8,True,2.652
NC_6_A013_4,A013,R00,34.708383150682764,14,True,2.652
NC_9_A002_5,A002,R02,35.66104137353081,14,True,2.652
NC_10_A018_6,A018,R04,28.993960647043423,17,True,2.652
NC_13_A007_7,A007,R03,42.289506937811495,20,True,2.652
NC_13_A036_8,A036,R04,23.69846500496483,19,True,2.652
NC_14_A001_9,A001,R03,40.82798492310665,19,True,2.652
NC_16_A008_10,A008,R02,27.743749959836492,23,True,2.652
NC_17_A004_11,A004,R03,37.12219304453679,21,True,2.652
NC_18_A023_12,A023,R00,21.05557535201062,23,True,2.652
NC_21_A031_13,A031,R03,33.46117701548765,27,True,2.652
NC_22_A025_14,A025,R04,3.9304042228776837,27,True,2.652
NC_25_A036_15,A036,R04,0.14650018508673668,33,True,0.2384497274547133
NC_26_A014_16,A014,R03,25.367929725022407,34,True,2.652
NC_34_A016_17,A016,R02,0.12649997942037317,40,True,0.20812659693886923
NC_34_A021_18,A021,R03,8.485464383057845,39,True,2.652
NC_38_A031_19,A031,R03,1.564393540073155,43,True,2.5199963296271646
NC_38_A033_20,A033,R02,0.002278821040718526,44,True,0.0
NC_40_A035_21,A035,R03,0.10750430548300471,46,True,0.14829333587522142
NC_43_A015_22,A015,R00,0.052510815240083275,47,True,0.0
NC_44_A016_23,A016,R02,0.00010022360928019225,50,True,0.0
NC_49_A023_24,A023,R00,0.0006054084811495386,53,True,0.0
NC_50_A027_25,A027,R00,0.00010157068857097329,54,True,0.0
NC_56_A015_26,A015,R00,4.467126117901898e-06,60,True,0.0
NC_57_A023_27,A023,R00,2.858960712615044e-06,61,True,0.0
NC_59_A010_28,A010,R04,2.779358965199208e-10,67,True,0.0
NC_97_A043_29,A043,R01,6.157342056119106,103,True,2.652
NC_99_A043_30,A043,R01,4.3494931995464725,105,True,2.442971127009472
NC_115_A000_31,A000,R01,0.9547628521481641,122,True,0.7676566266411919
NC_127_A044_32,A044,R01,0.08248041761262925,132,True,0.0
NC_141_A043_33,A043,R01,0.005668011139320583,147,True,0.0
NC_148_A000_34,A000,R01,0.0014858351121063151,152,True,0.0
NC_175_A000_35,A000,R01,1.0963528026763925e-05,181,False,0.0
