step,mode,score_start,score_end,score_change,distance_start,distance_end,distance_change,total_omk,total_fiat,accepted,rejected,harmful_accepted
1,gmoe,49.2627106987974,51.15568443468762,1.892973735890223,50.7372893012026,48.84431556531237,-1.89297373589023,186.87176311654292,6956.4761350166345,24,11,0
2,gmoe,51.15568443468762,52.88043949171199,1.7247550570243675,48.84431556531237,47.11956050828801,-1.7247550570243604,292.3113560407674,6956.4761350166345,28,7,0
3,gmoe,52.88043949171199,55.37356530059362,2.4931258088816293,47.11956050828801,44.62643469940637,-2.4931258088816435,447.1564074627322,6956.4761350166345,29,6,0
4,gmoe,55.37356530059362,57.296693063241634,1.923127762648015,44.62643469940637,42.70330693675835,-1.923127762648015,564.8023770290158,6956.4761350166345,24,12,0
5,gmoe,57.296693063241634,59.559861600696266,2.263168537454632,42.70330693675835,40.44013839930373,-2.263168537454625,695.8865628116844,6956.4761350166345,32,4,0
6,gmoe,59.559861600696266,61.159252374859726,1.59939077416346,40.44013839930373,38.84074762514026,-1.5993907741634672,798.8393382882163,6956.4761350166345,25,11,0
7,gmoe,61.159252374859726,63.03578143618721,1.8765290613274814,38.84074762514026,36.96421856381281,-1.876529061327453,922.1612795840427,6956.4761350166345,25,11,0
8,gmoe,63.03578143618721,65.22498537605212,2.1892039398649104,36.96421856381281,34.7750146239479,-2.1892039398649104,1072.118286397276,6956.4761350166345,29,8,0
9,gmoe,65.22498537605212,66.88270972631429,1.6577243502621712,34.7750146239479,33.1172902736857,-1.6577243502621997,1176.9084831783298,6956.4761350166345,27,9,0
10,gmoe,66.88270972631429,68.79782850418998,1.9151187778756906,33.1172902736857,31.202171495810024,-1.9151187778756729,1299.6754417329555,6956.4761350166345,26,11,0
11,gmoe,68.79782850418998,70.41249933507086,1.6146708308808826,31.202171495810024,29.58750066492915,-1.6146708308808755,1402.5744200073407,6956.4761350166345,29,7,0
12,gmoe,70.41249933507086,72.18844187757776,1.7759425425068969,29.58750066492915,27.811558122422216,-1.7759425425069324,1515.9889554047513,6956.4761350166345,28,9,0
13,gmoe,72.18844187757776,73.84465008852621,1.6562082109484493,27.811558122422216,26.15534991147379,-1.6562082109484244,1620.4971633306075,6956.4761350166345,27,10,0
14,gmoe,73.84465008852621,75.79341585581624,1.948765767290027,26.15534991147379,24.206584144183754,-1.9487657672900376,1744.0590633434495,6956.4761350166345,28,7,0
15,gmoe,75.79341585581624,77.15348535552062,1.3600694997043803,24.206584144183754,22.846514644479374,-1.3600694997043803,1831.1767839601187,6956.4761350166345,28,9,0
