month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,525424305313.52484,22841.23518635025,22869.475516628634,28.240330278382363,24.29815086625787,0.0,108,113,0,1
2,526005187156.31244,26191.64443402357,26489.266121115354,297.62168709178513,24.27704438335293,0.0,213,226,1,1
3,526781093643.748,28787.21178934141,29532.233896015576,745.0221066741663,24.03167427713009,0.0,309,339,2,2
4,528131756130.9334,31096.14386934463,32720.616369035586,1624.4724996909583,23.888857213270356,0.0,408,452,2,2
5,528625691729.80115,32810.84032010655,36075.65265585774,3264.81233575118,23.503746571052847,0.0,507,565,2,2
6,529150599797.6625,34330.39523618188,39570.590379201465,5240.195143019588,23.67824984631026,0.0,600,678,2,3
7,528723614473.07324,36273.3193962877,43621.357592274595,7348.0381959868955,24.283631953251977,0.0,718,791,2,4
8,530531743378.1683,37115.33964784303,47122.147525037995,10006.807877194968,24.379620621342347,0.0,824,904,2,4
9,532554062711.2908,37606.78319175486,50589.96803779015,12983.184846035289,24.01695071187149,0.0,925,1017,2,4
10,533565843668.6595,37599.19532314897,53795.29759925789,16196.102276108915,23.849661525562826,0.0,1027,1130,2,4
11,535329732805.37195,37630.50398388562,57289.39727511718,19658.893291231583,24.038924904049782,0.0,1130,1243,2,5
12,535844604072.39545,36758.20572416422,60270.35783433119,23512.15211016698,24.151243376087223,0.0,1220,1356,3,5
