month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,174454985119.2976,5415.429053893831,5416.670886162691,1.2418322688605545,23.659344700120975,0.0,20,31,5,0
2,174730181457.43405,6236.355516893496,6282.970577616874,46.61506072337758,23.93803412298437,0.0,36,81,11,0
3,174736458242.0411,7022.3643585369755,7185.559071319783,163.19471278280653,23.85588695924147,0.0,61,154,6,0
4,175779843872.68326,7631.0187868656685,7910.236137247373,279.2173503817053,23.729754569701438,0.0,76,243,9,0
5,175977356678.03052,8278.938694120885,8796.921759017698,517.9830648968136,24.168630849933493,0.0,97,352,7,0
6,175305670175.7273,8784.653022702227,9696.43868168142,911.7856589791936,24.258200540636828,0.0,116,466,6,0
7,173941558171.84048,9058.916085520708,10458.638671476892,1399.7225859561852,23.98759960378849,0.0,133,579,6,1
8,174996880886.21875,9293.624476783525,11288.051900921759,1994.4274241382354,24.044676923690204,0.0,153,691,8,1
9,175263337034.34418,9393.707259353883,12054.149820046847,2660.442560692962,23.925229156293042,0.0,170,803,9,1
10,175794912211.0023,9542.970162071293,13004.52747782993,3461.557315758634,23.98842901584102,0.0,193,916,7,1
11,176270117658.22275,9408.76713506148,13684.102686181159,4275.335551119678,24.05664338427389,0.0,205,1030,7,2
12,176215461702.23932,9383.849964002175,14554.364887425772,5170.514923423598,24.154304886268687,0.0,225,1143,9,2
13,175758957268.45624,9196.734016785073,15306.039884384454,6109.305867599386,24.10909392468647,0.0,240,1256,8,2
14,174865557225.85922,8991.266525440831,16151.450992066517,7160.184466625685,24.241802047797457,0.0,257,1372,4,2
15,175935650537.29553,8740.849451546597,17012.705835606666,8271.856384060065,24.310268365820903,0.0,276,1483,6,2
16,176223598045.84415,8401.079936333768,17761.769817763456,9360.689881429687,24.086753113248555,0.0,294,1596,6,2
17,176390962772.19833,8012.837953429213,18637.045257771817,10624.207304342606,24.03714432834257,0.0,315,1709,7,2
18,176570787837.75482,7628.356217616339,19472.374807846398,11844.018590230062,24.06828152377419,0.0,336,1819,8,3
19,177573461580.02753,7198.805474511521,20267.04238030258,13068.236905791062,24.07621031812169,0.0,356,1934,5,3
20,178323979996.1884,6759.3814936166855,21053.866126368066,14294.484632751384,24.206539730931603,0.0,374,2048,6,3
21,178136086296.0817,6199.6473888199625,21815.48156851138,15615.834179691421,24.238406852594608,0.0,392,2161,6,3
22,178077363181.40005,5719.898690553541,22576.302597899252,16856.403907345706,24.073089531709527,0.0,411,2275,6,3
23,178196560794.29578,5022.406809092128,23229.930678341654,18207.523869249522,23.981289683076284,0.0,427,2387,9,4
24,179464355561.73148,4563.285602607624,24126.439188681357,19563.153586073728,23.87517245737802,0.0,453,2499,6,5
