month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,174453638960.5245,5415.543206618691,5420.077579296757,4.534372678065771,23.866705616875002,0.0,20,31,5,0
2,174727553153.01062,6209.023207905642,6266.163934938961,57.14072703331817,24.22032913659212,0.0,36,81,11,0
3,174731641554.60898,6976.429926765523,7151.8744016433475,175.44447487782298,23.953621282009962,0.0,61,154,6,0
4,175771585983.05975,7528.5764060093725,7834.174937603734,305.5985315943617,23.771231980347846,0.0,76,243,9,0
5,175966152450.45892,8120.04724294257,8782.535462430682,662.4882194881106,24.140125680211668,0.0,97,352,7,0
6,175293630231.37177,8643.109262612279,9684.356555787237,1041.247293174958,24.264291597210015,0.0,116,466,6,0
7,173928661994.98465,8933.894014625788,10433.939168220022,1500.0451535942348,23.99463511829738,0.0,133,579,6,1
8,174983883892.42447,9293.627690255207,11255.356353594396,1961.728663339189,24.01755264183567,0.0,153,691,8,1
9,175249501079.1565,9539.665373445781,12027.153335403707,2487.487961957927,23.8999248657977,0.0,170,803,9,1
10,175782075054.66656,9938.39148759445,13010.325998155276,3071.9345105608263,23.989030445895935,0.0,193,916,7,1
11,176257529104.58344,9996.8772447021,13699.310745415998,3702.4335007138984,24.081532664035628,0.0,205,1030,7,2
12,176202820802.1627,10201.264096302963,14587.018859962322,4385.754763659358,24.138482447258447,0.0,225,1143,9,2
13,175747197272.40805,10189.898497187558,15363.058981878292,5173.160484690734,24.123677077417945,0.0,240,1257,7,2
14,174853872669.665,10161.766264109487,16192.308600805205,6030.542336695713,24.23556049090135,0.0,257,1372,4,2
15,175923796394.67163,10128.878680315316,17068.988448622127,6940.109768306807,24.325154837444984,0.0,276,1483,6,2
16,176212463852.391,10022.45753806011,17815.75359183428,7793.296053774166,24.082793069637976,0.0,294,1596,6,2
17,176380211455.53595,9930.750260487477,18706.1144781762,8775.364217688719,23.99799129946365,0.0,315,1709,7,2
18,176560512107.93777,9710.174727424694,19550.478178265294,9840.303450840602,24.072087135046367,0.0,336,1819,8,3
19,177564057071.90146,9464.73372459467,20352.505677628615,10887.771953033947,24.086118490966186,0.0,356,1934,5,3
20,178315206143.466,9193.676496615732,21134.028718433226,11940.352221817495,24.221120883316416,0.0,374,2048,6,3
21,178127564507.05704,8818.718360754609,21894.798076380604,13076.079715625994,24.22707556413974,0.0,392,2161,6,3
22,178068768691.52017,8475.33774572154,22636.723127762954,14161.385382041415,23.967374832401042,0.0,411,2275,6,3
23,178188577593.7415,7978.616411503277,23314.025008621495,15335.408597118214,23.875549020985236,0.0,427,2387,9,4
24,179456239155.5142,7541.569721421388,24202.307019904707,16660.73729848332,23.747610591915684,0.0,453,2499,6,5
