month,planet_gdp,truth_score,truth_positive,truth_debt,naturality_gap,sheaf_gap,economic_morphisms,truth_morphisms,network_queue_depth,events
1,174453024933.6254,5335.768974283636,5354.496649766012,18.727675482374607,22.80602203698576,0.0,15,27,4,0
2,174558218829.32034,6281.051638122625,6353.892517526161,72.84087940353591,23.55475675031555,0.0,40,79,3,0
3,173770240742.79773,6772.3179967661745,6937.002378769213,164.68438200303805,23.541239925029355,0.0,52,142,7,0
4,174085557633.20206,7380.196271049558,7680.036958135452,299.84068708589297,23.7489049455631,0.0,68,223,7,0
5,173901809502.97144,7990.054021747173,8469.66875407286,479.614732325688,23.644954781070194,0.0,88,327,3,0
6,173861455068.6642,8591.641090785772,9446.185164030669,854.544073244897,23.761722560521576,0.0,109,438,4,0
7,174552461210.2242,9065.010491823394,10332.520062592652,1267.5095707692599,23.802635608143394,0.0,128,552,6,0
8,175295415356.64066,9298.35492211921,11142.268284191972,1843.913362072762,23.59529950528342,0.0,150,664,6,1
9,175663806188.58026,9599.241665372632,12108.687830804338,2509.4461654317083,23.772874107117442,0.0,173,777,3,2
10,176448877396.34445,9726.044751497233,12857.510658572108,3131.465907074874,23.759558647836187,0.0,188,889,7,2
11,177864667111.09845,9789.892509791134,13653.674534507709,3863.7820247165746,23.77464140276372,0.0,208,1003,5,2
12,178006450695.9175,9935.744992191447,14607.157992717392,4671.413000525944,23.90226360813425,0.0,224,1116,6,3
13,178532737636.9542,9913.860009291235,15313.78199527534,5399.921985984101,23.727383819940584,0.0,239,1229,8,4
14,178793531623.8418,9753.3698290115,16136.01064583944,6382.640816827941,23.814864934323857,0.0,255,1343,6,4
15,178940424323.38,9508.16827084889,16818.207822659155,7310.039551810264,23.586498977387684,0.0,272,1456,5,4
16,179110696182.1676,9318.220709222669,17510.265642037404,8192.044932814735,23.525309054447284,0.0,285,1568,9,5
17,179157956063.95062,9014.293163269356,18308.742896526168,9294.44973325681,23.82872897587508,0.0,304,1682,6,6
18,180180009154.832,8775.027371111039,19041.775605608284,10266.748234497238,23.71543636431135,0.0,324,1795,8,6
19,180916110916.96942,8463.389729675284,19883.834638793094,11420.44490911781,23.82651713880962,0.0,345,1907,10,6
20,181185928008.51923,8206.820934858184,20765.247102330202,12558.426167472022,23.88094750888917,0.0,369,2022,5,6
21,181173213831.60056,7880.349117517587,21407.11866137168,13526.769543854096,24.14267594369646,0.0,384,2135,9,6
22,181806287351.57156,7480.546604048281,22076.06227599196,14595.515671943678,23.95856360185754,0.0,404,2245,10,6
23,182671161564.82724,7283.7826266096445,23120.787442023346,15837.004815413704,24.15419939114265,0.0,424,2361,5,6
24,183227897908.37744,7035.27733285745,23809.240184986305,16773.96285212886,24.335407057704167,0.0,446,2471,9,6
