month,world_gdp,truth_price,avg_inflation,avg_unemployment,avg_stability,global_wk_score,global_positive_wk,global_negative_wk,global_truth_gap,transactions,events
1,38802755684632.46,1005250.9183057261,0.045925943840445176,0.07620086826563921,0.676959608040111,5981.255693105371,5990.217839223777,8.962146118405897,0.0014938951890594455,13,12
2,38908759807722.79,1016860.3505731672,0.047078656746735066,0.0762281967327345,0.676959608040111,5981.90649849123,6003.770175535893,21.86367704466287,0.0036284443395603666,22,18
3,39014885661462.12,1019631.7135780699,0.04618943788444897,0.0791374472945939,0.676959608040111,5986.37130728338,6027.167932324766,40.79662504138709,0.006723280048143269,33,27
4,39121064081059.484,1025525.7450357083,0.04323329167464564,0.08142212535149848,0.676959608040111,5976.136616551595,6023.907445067412,47.77082851581678,0.007867812878632112,42,38
5,39226025945329.08,1036541.628156414,0.044855672636273596,0.08125283587352342,0.676959608040111,5984.547202014542,6055.295154756846,70.74795274230401,0.01154871937738846,53,46
6,39276271835266.61,1038280.6590939544,0.04591303553466585,0.08021448704246327,0.676959608040111,6830.141733248669,6908.670779332429,78.52904608376001,0.011238986725139384,65,54
7,39384226748070.016,1046366.3070087811,0.044192650649433535,0.08124826309717156,0.676959608040111,6827.3245949362545,6923.909062294883,96.58446735862827,0.013757503934823985,75,62
8,39491948242475.664,1049036.9055899133,0.045397155073325604,0.08234805323626455,0.676959608040111,6824.322998754756,6939.876676075451,115.5536773206952,0.016377977179670808,86,74
9,39599101903234.42,1050299.5873694841,0.04740307500006066,0.0820040607534667,0.676959608040111,6801.007696884773,6921.570624715328,120.56292783055524,0.01712022740422922,96,80
10,39707550886121.27,1058168.4865590094,0.04509591067739222,0.08277842375115439,0.676959608040111,6779.365530110981,6904.725892062936,125.36036195195372,0.017831980636132658,105,89
11,39817284180150.14,1068665.6164860614,0.04432287770651202,0.08303521723144652,0.676959608040111,6781.625739813022,6934.703235069745,153.07749525672298,0.021597380206998945,117,97
12,39926360203646.81,1077720.4409005165,0.04556762024423564,0.08097481205258192,0.676959608040111,7641.783593025646,7815.583168614938,173.79957558929092,0.02175381767951339,130,109
13,40033479973586.86,1085137.9409854691,0.05008030637169484,0.08716677956821058,0.676959608040111,7636.2521139062865,7837.855423051791,201.60330914550545,0.025076726662962713,144,122
14,40141049494148.02,1083598.315704994,0.047301122657155734,0.09010420311659081,0.676959608040111,7626.597150939632,7853.601852649507,227.00470170987296,0.02809253243339497,155,134
15,40248906255291.96,1082868.576016338,0.0497204595378522,0.09241878647157854,0.676959608040111,7603.141310775415,7845.046515504154,241.9052047287388,0.02991302694728371,170,137
16,40357236081466.6,1089133.778377989,0.0493243299583708,0.09635995597639903,0.676959608040111,7572.738413911359,7826.198245039421,253.45983112806155,0.03137011848009498,181,143
17,40465539368644.03,1099952.8281965614,0.0497725492695523,0.09738325570006891,0.676959608040111,7576.461779448852,7871.343288313141,294.8815088642885,0.03610989363973609,193,152
18,40572333993757.81,1108410.942255178,0.05123112860414334,0.09551725723347554,0.676959608040111,8428.623331667533,8739.639181913482,311.01585024594857,0.03436390505889248,205,160
19,40664598208651.57,1109557.2813644134,0.050838067807009196,0.10196098416008352,0.676959608040111,8407.449868287644,8745.353323357405,337.9034550697615,0.037200693904442805,217,165
20,40771958099435.02,1117126.451058017,0.050004036409713126,0.10416759678102429,0.676959608040111,8390.420347042258,8759.750944131498,369.3305970892395,0.040456490110374485,229,174
21,40880866852858.76,1117581.3402897895,0.0454175587448278,0.10751450473962726,0.676959608040111,8363.713538049136,8759.64028105932,395.9267430101846,0.04324437164506258,242,178
22,40992248071034.65,1114860.9063714044,0.04469379952920825,0.10436405941843625,0.676959608040111,8344.382637740207,8777.495559978644,433.112922238439,0.04702326920904334,253,184
23,41102119657344.25,1118506.186010529,0.044551443480794754,0.10922549205990958,0.676959608040111,8326.418336088032,8798.882299000736,472.46396291270315,0.05095958554083214,265,192
24,41211675633576.16,1125892.813603389,0.045471258868375795,0.10917351959204932,0.676959608040111,9183.79588699103,9680.445857045135,496.64997005410163,0.04880075598105204,275,198
