automation_level,capital_stock,current_labor_type,debt_value,education,expense_zw,happiness,health,id,income_zw,kind,last_output,last_profit,name,net_worth,output_good,positive_liquidity,price,primary_labor,sector,unemployed_periods
,,,0.0,0.7052518497294951,1.352792490744091,0.4769840777307718,0.754613505067014,H00001,0.37124999999999997,household,,,Haushalt H00001,96.70893640534011,,5.8153717130306415,,mining,,1
,,industrial,0.0,0.5500170502256312,2.791275946664247,0.669655739651906,0.7906024509123376,H00002,3.7598690101000574,household,,,Haushalt H00002,106.1110255272722,,2.730624369561705,,industrial,,0
,,teaching,0.0,1.0,2.581199975855705,0.9793778561068823,0.8968695293163947,H00003,2.212988258233672,household,,,Haushalt H00003,154.9780230889838,,3.8458954495978546,,teaching,,0
,,teaching,0.0,1.0,3.1588867346951637,0.9292341752470964,0.9237395732974915,H00004,1.9865794269136612,household,,,Haushalt H00004,158.55667524616123,,3.418889535367424,,health,,0
,,hospitality,0.0,0.7836613149228082,2.3715297189087146,0.6892693485421799,0.8205758034081795,H00005,2.5604803626651234,household,,,Haushalt H00005,113.79480734004918,,3.1000428959024733,,hospitality,,0
,,engineering,0.0,0.8096231344333473,3.476176247672411,0.5945125915994033,0.7978235044678201,H00006,5.530387357492277,household,,,Haushalt H00006,125.77018545180755,,6.301350407229875,,engineering,,0
,,,0.0,0.8445900397713699,0.6792167264827483,0.553119541861283,0.7596271232496237,H00007,0.38075,household,,,Haushalt H00007,101.48901249772626,,1.0914063673726495,,finance,,3
,,teaching,0.0,0.5188869165858035,2.0428531644202073,0.2653141384887287,0.6929561820179303,H00008,2.116502377382848,household,,,Haushalt H00008,101.52916034129194,,2.8814557272080683,,teaching,,0
,,maintenance,0.0,0.5612620022579241,2.2139775316137973,0.6846216295424091,0.776758584106263,H00009,1.882215885003187,household,,,Haushalt H00009,116.68861997271492,,6.20724149434934,,energy,,0
,,finance,0.0,0.7402046021936386,2.1578498783943907,0.6610467437721421,0.7659145053914527,H00010,2.348763861265303,household,,,Haushalt H00010,107.56504892285206,,1.903004142475267,,finance,,0
,,,0.0,0.6762132783240894,1.345327817345571,0.40629670617422947,0.7943333032431338,H00011,0.37124999999999997,household,,,Haushalt H00011,114.83867085290426,,3.874356633854645,,finance,,1
,,logistics,0.0,0.848342359315297,3.288418058044935,0.9949669367125199,0.8292938747966543,H00012,3.382422505690317,household,,,Haushalt H00012,123.91104667650396,,2.451016117896203,,logistics,,0
,,,0.0,0.8083912483181727,1.496876722905604,0.7975824897825978,0.8432901846670744,H00013,0.37124999999999997,household,,,Haushalt H00013,132.295702333203,,3.369684551035543,,software,,1
,,,0.0,0.5996581012531816,1.24289386827767,0.4698648875621804,0.6953223798701739,H00014,0.37124999999999997,household,,,Haushalt H00014,91.8818135289042,,1.7651413209707947,,agriculture,,1
,,maintenance,0.0,0.8741575216661938,3.0997633964177314,0.6740372673195326,0.7774974110790479,H00015,3.5752049798993784,household,,,Haushalt H00015,111.9755718176333,,4.355579321359379,,public_service,,0
,,security,0.0,0.7251254403987027,2.3611977981655716,0.6233762947463216,0.750433284691682,H00016,2.0693698194927745,household,,,Haushalt H00016,101.33688708654138,,5.447430276355828,,security,,0
,,,0.0,0.7496700684101939,0.7821078087268751,0.6208699183367062,0.8251780050063985,H00017,0.38075,household,,,Haushalt H00017,138.0674746843267,,1.1707262530004796,,engineering,,3
,,creative,0.0,0.6009590277703805,2.614173176537279,0.8103128559342141,0.8007455545612248,H00018,3.4315968990013967,household,,,Haushalt H00018,110.44868190515479,,3.1120349547620054,,retail,,0
,,,0.0,0.7923558529936211,1.7432804918408142,0.9180983019348093,0.9307852845786015,H00019,0.37124999999999997,household,,,Haushalt H00019,151.2800198916909,,3.3819746751631152,,logistics,,1
