month,global_gdp_wk,total_truth_score,positive_truth_score,truth_debt_score,avg_inflation,avg_stability,avg_unemployment,avg_environment,avg_company_reputation,fiat_trade_wk,truth_trade_score,loans_wk,conflicts,frauds_detected,shocks,un_legitimacy,un_audit_strength
1,96565.56344634706,39860.236643093485,39865.07804787758,4.8414047840719885,0.0526775044562933,0.5824968509207015,0.15831081868602154,0.5784481233918768,0.7617415220876476,7208.649030812247,409.423462064896,5.873483382876121,0.0,0.0,0.0,0.6051739155041973,0.6321198181944044
2,95932.71682128825,40737.05457845207,40949.57697804756,212.52239959547768,0.052804178931378745,0.5824990789259271,0.19763082508952803,0.5747742652461834,0.7631310339250343,6848.2840229623835,357.92575834876317,5.696156394991125,0.0,0.0,1.0,0.6054651639296577,0.6321953659225626
3,95438.62964305464,40828.536630719376,43086.51812863374,2257.9814979143734,0.049035678994645164,0.5813643252288138,0.2331045142392214,0.5727036037675557,0.7645319622705649,6935.193554089319,371.2688035378962,10.252386004630997,0.0,0.0,1.0,0.6057564134691206,0.6322708858277624
4,94671.23242349294,40425.79784205517,45941.98735926913,5516.18951721394,0.04448530257189927,0.5787908933349066,0.2650798178351447,0.570633683040878,0.7659424274782097,6845.048913630629,399.8182067956067,64.52470302681157,0.0,0.0,0.0,0.606047095631735,0.6323463771637559
5,94025.08791583186,39568.25789023433,49210.75412809082,9642.496237856469,0.052447129136292146,0.5721758102020272,0.29399125173223184,0.5686125618495066,0.7673378170951649,6807.224480103728,387.6071060924828,4.982677494145079,0.0,0.0,1.0,0.6063364910784025,0.632421837964449
6,93516.47324043358,38449.224374038946,52657.25266588818,14208.028291849245,0.04792972537120961,0.563438714303022,0.3201148709615952,0.566566645257646,0.7687722529178366,6491.088141509966,368.92464354224916,22.731461300970786,1.0,0.0,0.0,0.6066225789835035,0.6324972665661123
7,92628.69851378206,37112.635495688584,56456.65845624992,19344.022960561328,0.04388319030256134,0.555677245823182,0.3437166451523853,0.5645840436094205,0.7701619086613557,6415.51722833752,356.73693706575034,239.11372882558484,0.0,0.0,0.0,0.6069038835840765,0.6325728144779567
8,92131.68446403381,35718.55971472302,60107.45105896562,24388.89134424255,0.042400592718861645,0.5461942734527148,0.365033540785302,0.5625307620251382,0.7715926681883131,6673.110089241528,371.8959976726502,112.02564445080638,0.0,0.0,1.0,0.6071813136717584,0.6326483253014863
9,91344.3546576263,33954.51058932877,63712.30831212211,29757.797722793384,0.04757604841346171,0.5348058570738954,0.3836761381339454,0.5605118599357287,0.7729566422188329,6388.359754064223,335.0382103595254,33.1564283690353,0.0,0.0,0.0,0.6074540084012836,0.6327237980765117
10,90601.36437396833,31857.654992203643,67426.59853513191,35568.943542928246,0.04714985289942577,0.5214846945881645,0.3934727128101094,0.5585387272160314,0.7743590167246949,6285.154578657311,335.1972707880534,34.23422846682156,0.0,0.0,0.0,0.6077210149587273,0.6327992302352476
